short_window,long_window,trend_window,rsi_buy,rsi_sell,cross_persist,tp_pct,sl_pct,use_vol_filter,max_candles,trades,win_rate,total_pnl,final_portf,sharpe,max_drawdown,avg_candles
20,100,200,55,45,2,0.03,0.03,False,192,55,41.8,-32.18,967.82,-1.66,-4.07,133.9
10,50,100,55,45,2,0.08,0.03,False,384,119,34.5,-54.67,945.33,-1.67,-6.99,208.5
20,50,100,55,45,2,0.08,0.03,False,96,132,31.8,-43.21,956.79,-1.67,-4.72,78.9
10,50,100,55,45,2,0.05,0.01,False,96,131,31.3,-29.26,970.74,-1.69,-3.45,62.4
20,50,100,55,45,2,0.08,0.03,False,192,123,33.3,-53.13,946.87,-1.7,-5.57,137.4
10,50,100,55,45,2,0.08,0.01,False,96,131,31.3,-29.5,970.5,-1.71,-3.45,63.3
10,50,200,55,45,2,0.05,0.01,False,192,116,23.3,-35.41,964.59,-1.71,-3.9,92.9
20,50,100,55,45,2,0.03,0.02,False,192,128,34.4,-41.93,958.07,-1.71,-4.08,97.9
20,50,100,55,45,2,0.05,0.02,False,192,128,31.2,-46.56,953.44,-1.76,-4.49,108.1
10,50,100,55,45,2,0.08,0.01,False,192,128,21.1,-38.59,961.41,-1.81,-4.4,92.3
20,50,100,55,45,2,0.03,0.01,False,384,128,22.7,-36.51,963.49,-1.82,-3.52,76.1
20,50,100,55,45,2,0.08,0.02,False,96,132,30.3,-45.47,954.53,-1.82,-4.94,70.9
10,50,200,55,45,2,0.05,0.01,False,384,115,18.3,-41.3,958.7,-1.84,-4.46,116.1
10,50,200,55,45,2,0.05,0.02,False,192,111,32.4,-45.26,954.74,-1.85,-5.18,124.3
20,50,200,55,45,2,0.08,0.02,False,192,112,29.5,-53.7,946.3,-1.85,-5.15,126.6
10,50,100,55,45,2,0.03,0.03,False,384,122,37.7,-53.83,946.17,-1.87,-6.83,157.5
20,100,200,55,45,2,0.03,0.03,False,384,54,38.9,-41.05,958.95,-1.88,-4.7,178.3
10,50,200,55,45,2,0.05,0.03,False,96,120,37.5,-44.06,955.94,-1.88,-4.49,82.6
20,50,200,55,45,2,0.03,0.01,False,384,118,23.7,-38.16,961.84,-1.89,-3.69,86.8
20,50,200,55,45,2,0.03,0.02,False,96,122,33.6,-40.78,959.22,-1.94,-4.13,73.8
20,50,100,55,45,2,0.05,0.03,False,384,116,32.8,-60.95,939.05,-1.95,-6.59,189.8
10,50,200,55,45,2,0.08,0.03,False,96,120,37.5,-45.53,954.47,-1.96,-4.63,84.1
20,50,200,55,45,2,0.08,0.03,False,192,111,31.5,-60.38,939.62,-1.98,-5.98,151.2
10,50,200,55,45,2,0.03,0.02,False,192,112,33.9,-44.95,955.05,-1.98,-4.99,115.3
20,50,100,55,45,2,0.05,0.02,False,384,121,27.3,-56.15,943.85,-1.98,-5.49,143.0
10,50,100,55,45,2,0.08,0.02,False,192,125,29.6,-49.38,950.62,-2.02,-5.43,123.5
10,50,100,55,45,2,0.05,0.03,False,384,121,33.9,-63.93,936.07,-2.05,-7.64,191.8
10,50,100,55,45,2,0.03,0.02,False,192,125,32.0,-45.45,954.55,-2.05,-4.97,107.1
10,50,100,55,45,2,0.05,0.03,False,96,131,38.2,-47.77,952.23,-2.06,-5.15,81.5
20,50,200,55,45,2,0.05,0.01,False,192,119,21.8,-43.94,956.06,-2.06,-4.27,88.6
10,50,100,55,45,2,0.08,0.03,False,96,131,38.2,-48.02,951.98,-2.07,-5.15,82.4
20,50,100,55,45,2,0.03,0.03,False,192,126,36.5,-55.53,944.47,-2.1,-5.55,121.8
20,50,100,55,45,2,0.03,0.01,False,192,130,23.1,-40.38,959.62,-2.11,-3.97,70.6
10,50,100,55,45,2,0.03,0.02,False,96,131,38.2,-41.36,958.64,-2.12,-4.26,72.7
20,50,100,55,45,2,0.05,0.01,False,192,130,20.0,-46.14,953.86,-2.15,-4.55,78.3
20,50,100,55,45,2,0.05,0.03,False,192,126,33.3,-61.39,938.61,-2.17,-6.14,132.0
20,50,200,55,45,2,0.05,0.01,False,384,116,17.2,-49.21,950.79,-2.17,-4.79,107.2
20,50,100,55,45,2,0.05,0.01,False,96,133,24.8,-38.99,961.01,-2.18,-3.84,57.4
10,50,200,55,45,2,0.05,0.03,False,192,111,34.2,-58.46,941.54,-2.19,-6.51,138.6
20,50,100,55,45,2,0.05,0.01,False,384,127,17.3,-49.82,950.18,-2.23,-4.86,91.4
10,50,100,55,45,2,0.05,0.02,False,192,125,29.6,-52.81,947.19,-2.26,-5.85,119.5
20,50,200,55,45,2,0.03,0.01,False,192,120,24.2,-43.72,956.28,-2.28,-4.24,79.7
20,50,100,55,45,2,0.03,0.01,False,96,133,25.6,-38.42,961.58,-2.31,-3.78,55.4
10,50,100,55,45,2,0.05,0.01,False,192,128,21.1,-44.59,955.41,-2.31,-4.9,87.7
10,50,200,55,45,2,0.03,0.03,False,192,112,35.7,-58.6,941.4,-2.34,-6.49,129.3
10,50,200,55,45,2,0.03,0.02,False,96,120,37.5,-44.25,955.75,-2.35,-4.52,75.2
20,50,100,55,45,2,0.05,0.03,False,96,132,31.8,-53.73,946.27,-2.38,-5.77,78.0
10,50,100,55,45,2,0.08,0.01,False,384,127,18.1,-53.16,946.84,-2.4,-5.83,122.0
20,50,200,55,45,2,0.05,0.02,False,192,115,30.4,-62.57,937.43,-2.43,-6.04,120.9
10,50,200,55,45,2,0.03,0.01,False,384,116,20.7,-46.2,953.8,-2.44,-5.5,97.1
20,50,100,55,45,2,0.03,0.03,False,96,132,32.6,-52.74,947.26,-2.46,-5.59,75.2
10,50,200,55,45,2,0.03,0.01,False,96,123,30.9,-37.71,962.29,-2.47,-3.94,61.7
10,50,100,55,45,2,0.03,0.01,False,96,131,31.3,-37.29,962.71,-2.49,-3.94,59.9
20,50,200,55,45,2,0.05,0.03,False,192,114,32.5,-69.98,930.02,-2.55,-6.94,144.9
10,50,100,55,45,2,0.03,0.03,False,96,131,38.2,-55.43,944.57,-2.57,-5.64,78.5
10,50,100,55,45,2,0.03,0.01,False,384,128,21.1,-47.1,952.9,-2.58,-5.22,91.1
20,50,100,55,45,2,0.05,0.02,False,96,132,30.3,-55.99,944.01,-2.59,-5.99,69.9
