type,timestamp,price,btc_amount,pct_per_trade,cash_in,cash_out
buy,2017-12-12 22:00:00,16515.4,0.002824703702148999,0.05,46.65111152247158,
sell,2017-12-13 01:45:00,16080.0,0.003726238970446624,0.05,,59.91792264478171
buy,2017-12-13 13:00:00,16200.0,0.00292064519003624,0.05,47.31445207858709,
sell,2017-12-13 17:15:00,15379.95,0.0036859592814261046,0.05,,56.68986945036942
buy,2017-12-13 23:45:00,16033.29,0.002980250650189462,0.05,47.7832229471762,
sell,2017-12-14 06:00:00,15635.29,0.0036506738498642724,0.05,,57.079344338044365
buy,2017-12-14 11:15:00,16110.64,0.0029947928211864713,0.05,48.24802901671961,
sell,2017-12-15 19:30:00,17580.0,0.0036178797984303826,0.05,,63.60232685640613
buy,2017-12-16 08:15:00,17619.98,0.0027818274429768893,0.05,49.01574390870393,
sell,2017-12-17 05:15:00,19000.0,0.003576077180657708,0.05,,67.94546643249645
buy,2017-12-17 08:15:00,19447.76,0.002569048056685889,0.05,49.96223003489356,
sell,2017-12-17 17:00:00,19101.24,0.0035257257244591168,0.05,,67.34573323706746
buy,2017-12-18 07:00:00,18879.5,0.002692412680155844,0.05,50.831405195002255,
sell,2017-12-18 16:30:00,18629.5,0.003484060072243953,0.05,,64.90629711586872
buy,2017-12-19 00:30:00,18635.36,0.002765449650076284,0.05,51.53514979104558,
sell,2017-12-19 07:45:00,18562.01,0.0034481295511355698,0.05,,64.00421520947395
buy,2017-12-19 08:15:00,18647.87,0.0027970273850025235,0.05,52.15860306196701,
sell,2017-12-19 08:45:00,18620.01,0.003415574442828917,0.05,,63.598030281218854
buy,2017-12-19 20:15:00,17369.89,0.0030357460192856492,0.05,52.73057442292961,
sell,2017-12-19 22:45:00,16659.98,0.0033965830216517536,0.05,,56.58700520905778
buy,2017-12-20 10:30:00,17365.0,0.0030477049215223736,0.05,52.923395962236015,
sell,2017-12-20 17:45:00,16856.86,0.0033791391166452843,0.05,,56.96167500981323
buy,2017-12-21 03:30:00,16559.98,0.0032080539900781807,0.05,53.12530991461487,
sell,2017-12-21 11:45:00,16490.99,0.003370584860316929,0.05,,55.58428122563788
buy,2017-12-22 01:00:00,14736.92,0.003613255583946036,0.05,53.24825848016602,
sell,2017-12-22 03:00:00,13629.97,0.0033827183964983847,0.05,,46.10635026272109
buy,2017-12-22 21:00:00,13770.0,0.0038410430696654884,0.05,52.891163069293775,
sell,2017-12-23 08:00:00,13956.56,0.00340563463015674,0.05,,47.53094405386035
buy,2017-12-23 11:15:00,14350.01,0.003667116059049583,0.05,52.62315211852211,
sell,2017-12-24 00:00:00,12900.0,0.0034187087016013824,0.05,,44.10134225065783
buy,2017-12-24 10:45:00,12730.13,0.004100277186888814,0.05,52.197061625128896,
sell,2017-12-24 11:15:00,12285.99,0.0034527871258657537,0.05,,42.42090810051539
buy,2017-12-24 22:45:00,13041.0,0.003965052829453127,0.05,51.708253948898225,
sell,2017-12-25 17:15:00,13444.36,0.003478400411045123,0.05,,46.76486735023861
buy,2017-12-25 20:15:00,13828.02,0.003721507823894183,0.05,51.461084618965245,
sell,2017-12-25 21:45:00,13553.92,0.003490555781687576,0.05,,47.31071382053087
buy,2017-12-25 22:30:00,13451.42,0.0038102717838743813,0.05,51.25356607904353,
sell,2017-12-25 23:15:00,13630.4,0.0035065415817969164,0.05,,47.79556437652469
buy,2017-12-26 01:30:00,13687.95,0.0037317981139555296,0.05,51.08066599391759,
sell,2017-12-27 02:45:00,15808.23,0.003517804408404847,0.05,,55.61026118307775
buy,2017-12-27 04:00:00,16127.07,0.003181430089493975,0.05,51.3071457533756,
sell,2017-12-27 11:00:00,15467.97,0.0035009856924593033,0.05,,54.153141661389725
buy,2017-12-28 01:00:00,15150.0,0.0033960030065198887,0.05,51.44944554877631,
sell,2017-12-28 03:45:00,14163.42,0.0034957365581623333,0.05,,49.51158508260755
buy,2017-12-28 16:45:00,13799.97,0.003721207547948863,0.05,51.35255252546787,
sell,2017-12-28 19:45:00,13736.43,0.0035070101076516594,0.05,,48.17379885304948
buy,2017-12-28 23:45:00,14182.11,0.003609731897570033,0.05,51.193614841846944,
sell,2017-12-29 11:00:00,14188.54,0.0035121461971475785,0.05,,49.832226804076306
buy,2017-12-29 17:45:00,14516.05,0.0035220011945369723,0.05,51.125545439958415,
sell,2017-12-30 00:15:00,14218.45,0.0035126389470170475,0.05,,49.94428123621454
buy,2017-12-30 21:45:00,12747.91,0.004005870941179474,0.05,51.066482229771225,
sell,2017-12-31 08:15:00,12709.87,0.0035373005467251688,0.05,,44.95863009980582
buy,2017-12-31 13:45:00,13157.94,0.0038578295404351256,0.05,50.76108962327296,
